,Polymer,lg(b ' /m 2 s 1 ),v,"Solvent, ref"
0,PS,7.70,0.54,"benzene, [11]"
1,pMA,7.72,0.50,"toluene, [13]"
2,pMMA,7.53,0.56,"CDCl 3 , [11]"
3,dextrane,8.14,0.47,"D 2 O, [11]"
4,pullane,8.2,0.49,"D 2 O, [15]"
5,PEG [a],8.39,0.47,"D 2 O, [14]"
